Location,Land_cover,Biome,Biogeogr,Country,Latitude,Longitude,Elevation,Abundance,Richness,Seasons,Years,PresAbs,Rodents
SWZ_Maguga,Natural,Savanna,Southern,Eswatini,-26.067,31.27,650,18,1,2,2,0,1
SWZ_Mlawula,Natural,Savanna,Southern,Eswatini,-26.208,32,150,9,1,2,2,0,1
TCD_Zakouma,Natural,Sudanian-savanna,Sudanian,Chad,10.5,19.8,430,20,1,1,1,0,1
TZA_Katavi,Mixed,Savanna,Zambezian,Tanzania,-6.8,31,1000,94,3,2,2,0,1
TZA_Kilimanjaro1,Natural,Montane,Zambezian,Tanzania,-3.225,37.459,2200,3,3,2,1,1,1
TZA_Kilimanjaro2,Natural,Montane,Zambezian,Tanzania,-3.186,37.463,2700,3,3,2,1,1,1
TZA_Kilimanjaro3,Natural,Montane,Zambezian,Tanzania,-3.145,37.46,3500,1,1,2,1,1,1
TZA_KilimanjaroA1,Natural,Montane,Zambezian,Tanzania,-3.24007,37.45837,2000,70,5,1,1,0,1
TZA_KilimanjaroA2,Natural,Montane,Zambezian,Tanzania,-3.20765,37.447,2500,79,5,1,1,0,1
TZA_KilimanjaroA3,Natural,Montane,Zambezian,Tanzania,-3.17712,37.44022,3000,88,4,1,1,0,1
TZA_KilimanjaroA4,Natural,Montane,Zambezian,Tanzania,-3.14902,37.43555,3500,49,3,1,1,0,1
TZA_KilimanjaroA5,Natural,Montane,Zambezian,Tanzania,-3.1261,37.42667,4000,34,3,1,1,0,1
TZA_Kingu,Mixed,Savanna,Zambezian,Tanzania,-8.433,38.633,170,21,1,1,1,0,1
TZA_Minziro,Natural,Montane,Congolian,Tanzania,-1.0942,31.5154,1160,21,6,1,1,0,1
TZA_Tarangire,Natural,Savanna,Zambezian,Tanzania,-3.88,36.03,1100,17,4,2,2,0,1
TZA_Udzungwa1,Natural,Forest,Zambezian,Tanzania,-8.517,35.9,600,23,5,1,1,0,1
TZA_Udzungwa2,Natural,Montane,Zambezian,Tanzania,-8.51,35.92,920,32,3,1,1,0,1
TZA_Udzungwa3,Natural,Montane,Zambezian,Tanzania,-8.475,35.88,2460,22,5,1,1,0,1
TZA_Udzungwa4,Natural,Montane,Zambezian,Tanzania,-8.35,35.95,2000,68,6,1,1,0,1
TZA_Udzungwa5,Natural,Montane,Zambezian,Tanzania,-7.8478,36.8838,350,52,6,2,2,0,1
TZA_Udzungwa6,Natural,Montane,Zambezian,Tanzania,-7.708,36.909,1200,13,4,2,2,0,1
TZA_Usambara1,Natural,Montane,Zambezian,Tanzania,-5.1058,38.5978,1000,115,10,1,3,0,1
TZA_Usambara2,Natural,Montane,Zambezian,Tanzania,-5.067,38.4,1200,114,5,1,3,0,1
UGA_Bwindi1,Natural,Montane,Congolian,Uganda,-0.997,29.616,1550,11,11,2,1,1,1
UGA_Bwindi2,Natural,Montane,Congolian,Uganda,-1.05,29.775,2300,12,12,2,1,1,1
UGA_Rwenzori1,Natural,Montane,Congolian,Uganda,0.344,30.027,2000,31,7,2,2,0,1
UGA_Rwenzori2,Natural,Montane,Congolian,Uganda,0.341,29.987,2700,19,5,2,2,0,1
UGA_Rwenzori3,Natural,Montane,Congolian,Uganda,0.321,29.974,3350,12,4,2,2,0,1
UGA_Rwenzori4,Natural,Montane,Congolian,Uganda,0.3,29.91,4000,2,2,2,2,0,1
ZAF_Asante,Natural,Montane,Southern,South_Africa,-32.233,24.917,1800,55,1,2,2,0,1
ZAF_Baviaanskloof,Natural,Fynbos,Southern,South_Africa,-33.6,24.4,800,2,1,1,1,0,1
ZAF_Groenvaley,Degraded,Grassland,Southern,South_Africa,-25.33,30.75,1100,488,3,2,3,0,1
ZAF_Karkloof,Natural,Forest,Southern,South_Africa,-29.292,30.24,1500,532,2,2,2,0,1
ZAF_Karoo2,Rangeland,Succulent-Karoo,Southern,South_Africa,-33.367,24.2,550,11,1,2,1,0,1
ZAF_Karoo3,Rangeland,Nama-Karoo,Southern,South_Africa,-33.35,23.133,800,12,1,2,1,0,1
