"","Site","alt","alt_rough","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","Location","Land_cover","Biome","Biogeogr","Country","Latitude","Longitude","Elevation","Abundance","Richness","Seasons","Years","PresAbs","Shrews"
"53","53",248,228,261,274,245,1396,225,18,55,561,93,335,351,93,71,1089,334,204,130,265,266,"GHA_Krokosua","Natural","Rainforest","Congolian","Ghana",6.617,-2.85,220,44,4,1,1,0,1
"54","54",232,83,273,296,254,1049,204,1,80,534,12,135,534,112,65,1543,364,194,170,254,276,"GHA_Mole","Natural","Sudanian_savanna","Sudanian","Ghana",9.5,-2,200,48,5,1,1,0,0
"55","55",475,42,256,283,236,1511,311,1,92,855,8,231,36,173,62,1792,384,109,275,249,237,"GIN_Niger","Natural","Sudanian_savanna","Sudanian","Guinea",10.1,-10.4,450,11,11,1,1,1,1
"56","56",562,332,238,247,231,2457,421,18,63,1173,122,513,208,151,70,713,343,129,214,233,233,"GIN_Ziama","Natural","Forest-savanna","Congolian","Guinea",8.25,-9.25,600,28,10,1,1,0,1
"57","57",663,153,241,251,227,563,171,1,119,298,3,212,3,157,83,938,336,147,189,243,227,"KEN_Meru","Natural","Savanna","Somalian","Kenya",0.183,38.167,650,323,6,2,2,0,1
"58","58",1605,804,191,199,184,890,190,17,78,392,62,276,62,164,85,643,291,100,191,189,184,"KEN_Mukogodo","Natural","Montane","Somalian","Kenya",0.4,37.25,1500,187,7,2,1,0,1
"59","59",1709,186,187,200,167,946,209,16,74,467,63,362,80,121,72,1256,275,109,166,196,171,"Ken_Nairobi1","Natural","Grassland","Zambezian","Kenya",-1.233,36.8,1750,210,5,2,2,0,1
"60","60",1709,186,187,200,167,946,209,16,74,467,63,362,80,121,72,1256,275,109,166,196,171,"Ken_Nairobi2","Natural","Grassland","Zambezian","Kenya",-1.233,36.8,1750,680,9,2,2,0,0
"61","61",363,41,292,302,282,238,52,0,84,114,12,57,17,118,80,740,373,227,146,294,288,"KEN_Turkana1","Natural","Savanna","Somalian","Kenya",3.95,36.2,380,62,6,2,2,0,1
"62","62",1064,515,230,241,218,404,108,5,83,197,27,173,28,147,84,863,323,149,174,238,219,"KEN_Turkana2","Natural","Savanna","Somalian","Kenya",2.567,36.917,1000,6,3,2,2,0,1
"63","63",571,517,237,247,226,2104,382,18,66,997,108,316,887,140,71,824,336,141,195,227,237,"LBR_Nimba1","Mixed","Forest-savanna","Congolian","Liberia",7.51,-8.53,1350,1,1,1,1,0,1
"64","64",510,517,240,250,230,2074,376,16,66,985,104,311,877,141,70,805,340,141,199,231,239,"LBR_Nimba2","Mixed","Forest-savanna","Congolian","Liberia",7.52,-8.53,1000,7,5,1,1,0,1
"65","65",425,101,244,251,235,2127,390,16,66,1003,106,414,888,144,71,681,344,143,201,236,242,"LBR_Nimba3","Mixed","Forest-savanna","Congolian","Liberia",7.51,-8.7,420,21,5,1,1,0,1
"66","66",475,130,242,248,231,2151,393,17,66,1022,109,310,913,142,72,732,341,145,196,233,241,"LBR_Nimba4","Mixed","Forest-savanna","Congolian","Liberia",7.47,-8.65,450,58,6,1,1,0,1
"67","67",838,362,228,235,218,2613,449,22,62,1196,138,525,1034,143,72,879,327,129,198,220,226,"LBR_Wologizi","Natural","Forest-savanna","Congolian","Liberia",8.149,-9.879,550,15,6,1,1,0,1
"68","68",422,164,266,299,244,1067,310,0,122,773,0,56,6,131,58,2198,377,154,223,252,265,"MLI_Bafing","Mixed","Sudanian_savanna","Sudanian","Mali",13,-10.5,400,245,11,2,3,0,0
"69","69",378,41,267,292,248,1254,306,1,101,801,6,169,21,140,61,1762,372,146,226,255,253,"MLI_Baoule","Mixed","Sudanian_savanna","Sudanian","Mali",10.5,-7.7,410,50,5,2,3,0,0
"70","70",477,144,269,301,246,1036,301,0,121,756,0,65,8,148,62,2179,382,146,236,255,249,"MLI_Mandingues","Mixed","Sudanian_savanna","Sudanian","Mali",12.5,-8.5,430,158,11,2,3,0,0
"71","71",265,0,277,314,235,435,151,0,137,350,0,68,0,141,54,2928,404,147,257,279,235,"MLI_Mopti","Mixed","Sahel","Sudanian","Mali",14.89,-4.035,260,3107,3,2,3,0,1
"72","72",348,20,270,295,252,1133,297,2,101,720,11,158,21,130,61,1746,368,158,210,257,257,"MLI_Sikasso","Mixed","Sudanian_savanna","Sudanian","Mali",10.7,-6,340,283,11,2,3,0,0
"73","73",902,495,234,261,202,883,237,2,113,615,11,281,18,130,59,2288,349,131,218,246,217,"MOZ_Cabora","Natural","Savanna","Zambezian","Mozambique",-15.6,32.75,840,80,7,2,2,0,1
"74","74",37,11,250,275,211,1028,208,12,88,603,52,603,63,133,62,2659,347,135,212,275,222,"MOZ_Gorongosa","Natural","Savanna","Zambezian","Mozambique",-18.99,34.35,120,81,10,1,1,0,1
"75","75",2,3,257,286,227,168,69,0,157,152,0,138,3,121,61,2325,344,148,196,283,246,"MRT_Chott","Natural","Sahel","Sudanian","Mauritania",16.6,-16.43,10,329,7,2,2,0,1
"76","76",135,64,259,289,216,788,176,4,99,505,22,257,34,121,56,2878,360,145,215,282,233,"MWI_Lengwe","Natural","Savanna","Zambezian","Malawi",-16.3,34.733,100,220,9,2,2,0,1
"77","77",480,81,239,266,203,982,229,4,107,647,15,297,16,110,56,2458,332,138,194,255,217,"MWI_Liwonde","Natural","Savanna","Zambezian","Malawi",-15.033,35.25,550,106,7,2,2,0,1
"78","78",1629,1454,174,192,145,1780,330,21,81,940,92,505,119,97,61,1877,254,95,159,189,156,"MWI_Mulanje","Natural","Montane","Zambezian","Malawi",-15.983,35.533,1900,47,7,1,1,0,0
"79","79",2344,93,143,163,115,1285,256,4,95,741,19,335,23,107,58,1868,231,49,182,154,124,"MWI_Nyika","Natural","Montane","Zambezian","Malawi",-10.583,33.817,2300,47,6,1,1,0,0
"80","80",1206,23,205,234,159,891,215,0,113,618,0,347,0,152,55,3085,328,53,275,226,159,"MWI_Zomba","Natural","Montane","Zambezian","Malawi",-15.333,25.317,1900,215,8,2,2,0,1
"81","81",382,42,205,230,178,16,5,0,72,10,1,10,1,155,70,2052,312,92,220,230,178,"NAM_Gobabeb","Natural","Desert","Southern","Namibia",-23.543,14.993,400,2,2,2,1,0,0
"82","82",1161,227,152,188,111,95,27,2,95,60,6,38,8,126,60,3030,250,42,208,187,117,"NAM_Gorrasis","Natural","Desert","Southern","Namibia",-25.3,15.917,1200,3132,3,2,2,0,0
"83","83",1005,236,207,261,144,145,40,0,102,100,1,69,1,161,55,4591,346,57,289,257,144,"NAM_Keetmanshoop","Rangeland","Nama-Karoo","Southern","Namibia",-26.39,17.996,1000,301,8,2,2,0,1
"84","84",951,156,195,223,160,114,38,0,127,92,1,92,3,166,71,2483,302,70,232,223,165,"NAM_Tumasberg","Natural","Desert","Southern","Namibia",-23.152,15.514,1100,229,3,2,1,0,1
"85","85",126,47,269,284,251,1400,217,10,63,590,50,253,499,87,71,1246,337,215,122,262,275,"NGA_Gambari","Natural","Rainforest","Congolian","Nigeria",7.15,3.9,170,482,7,2,3,0,1
"86","86",1430,550,208,221,198,1712,293,4,76,848,24,237,848,118,69,890,298,129,169,198,211,"NGA_Gotel","Natural","Montane","Congolian","Nigeria",7,11.7,1600,29,9,1,1,0,1
"87","87",26,11,265,278,251,2263,384,15,67,1002,87,343,1002,84,75,1017,327,215,112,251,269,"NGA_Oredo","Mixed","Rainforest","Congolian","Nigeria",6.09,5.485,20,1690,14,1,3,0,1
"88","88",2670,1449,133,135,129,1721,236,33,42,615,162,514,447,101,92,243,189,80,109,133,133,"RWA_Volcanoes","Natural","Montane","Congolian","Rwanda",-1.458,29.498,3000,201,7,1,1,0,1
"89","89",158,95,283,317,261,974,284,0,123,723,0,39,4,131,58,2282,396,171,225,267,282,"SEN_Sabodala","Mixed","Sudanian_savanna","Sudanian","Senegal",13.167,-12.117,250,522,9,2,2,0,1
"90","90",325,102,258,275,246,2469,462,8,81,1276,38,154,1276,115,61,1204,354,168,186,246,254,"SLE_Bumbuna1","Natural","Forest-savanna","Sudanian","Sierra_Leone",9.3244,-11.675,310,81,8,1,1,0,1
